k_Mpc_inv,fNL
3.694601205199302130e-02,0.000000000000000000e+00
3.851107002325571127e-02,0.000000000000000000e+00
4.014242490499322219e-02,0.000000000000000000e+00
4.184288507901582493e-02,0.000000000000000000e+00
4.361537789208003169e-02,0.000000000000000000e+00
4.546295469532399269e-02,0.000000000000000000e+00
4.738879609717653457e-02,0.000000000000000000e+00
4.939621743878321036e-02,0.000000000000000000e+00
5.148867450137494667e-02,0.000000000000000000e+00
5.366976945540476163e-02,0.000000000000000000e+00
5.594325706169377826e-02,0.000000000000000000e+00
5.831305113526221579e-02,0.000000000000000000e+00
6.078323128297229844e-02,0.000000000000000000e+00
6.335804992658250478e-02,0.000000000000000000e+00
6.604193962330305590e-02,0.000000000000000000e+00
6.883952069645496441e-02,0.000000000000000000e+00
7.175560918936924049e-02,0.000000000000000000e+00
7.479522515621821188e-02,0.000000000000000000e+00
7.796360130405233235e-02,0.000000000000000000e+00
8.126619200091945994e-02,0.000000000000000000e+00
8.470868266557406157e-02,0.000000000000000000e+00
8.829699955494087205e-02,0.000000000000000000e+00
9.203731996618221001e-02,0.000000000000000000e+00
9.593608287093141618e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00
1.042360673976401170e-01,0.000000000000000000e+00
1.086515774652538346e-01,0.000000000000000000e+00
1.132541315152811451e-01,0.000000000000000000e+00
1.180516528568805595e-01,0.000000000000000000e+00
1.230524004359261625e-01,0.000000000000000000e+00
1.282649830528059809e-01,0.000000000000000000e+00
1.336983741824946670e-01,0.000000000000000000e+00
1.393619274224142113e-01,0.000000000000000000e+00
1.452653925946781333e-01,0.000000000000000000e+00
1.514189325304352018e-01,0.000000000000000000e+00
1.578331405652118047e-01,0.000000000000000000e+00
1.645190587753662392e-01,0.000000000000000000e+00
1.714881969870539202e-01,0.000000000000000000e+00
1.787525525904235524e-01,0.000000000000000000e+00
1.863246311931559818e-01,0.000000000000000000e+00
1.942174681489026444e-01,0.000000000000000000e+00
2.024446509976803865e-01,0.000000000000000000e+00
2.110203428568594441e-01,0.000000000000000000e+00
2.199593068030074872e-01,0.000000000000000000e+00
2.292769312865648723e-01,0.000000000000000000e+00
2.389892566231050230e-01,0.000000000000000000e+00
2.491130026067788494e-01,0.000000000000000000e+00
2.596655972934869827e-01,0.000000000000000000e+00
2.706652070033241375e-01,0.000000000000000000e+00
2.821307675939470627e-01,0.000000000000000000e+00
2.940820170587063465e-01,0.000000000000000000e+00
3.065395295056526637e-01,0.000000000000000000e+00
3.195247505759213347e-01,0.000000000000000000e+00
3.330600343624588455e-01,0.000000000000000000e+00
3.471686818926559281e-01,0.000000000000000000e+00
3.618749812411280464e-01,0.000000000000000000e+00
3.772042493416997710e-01,0.000000000000000000e+00
3.931828755705770173e-01,0.000000000000000000e+00
4.098383671757261371e-01,0.000000000000000000e+00
4.271993966306776858e-01,0.000000000000000000e+00
4.452958509942655518e-01,0.000000000000000000e+00
4.641588833612777520e-01,0.000000000000000000e+00
4.838209664925957054e-01,0.000000000000000000e+00
5.043159487171359201e-01,0.000000000000000000e+00
5.256791122018424911e-01,0.000000000000000000e+00
5.479472336900287344e-01,0.000000000000000000e+00
5.711586478126429167e-01,0.000000000000000000e+00
5.953533130814370189e-01,0.000000000000000000e+00
6.205728806776500406e-01,0.000000000000000000e+00
6.468607661546327270e-01,0.000000000000000000e+00
6.742622241778342129e-01,0.000000000000000000e+00
7.028244264308345368e-01,0.000000000000000000e+00
7.325965428215229780e-01,0.000000000000000000e+00
7.636298261282241651e-01,0.000000000000000000e+00
7.959777002314986083e-01,0.000000000000000000e+00
